world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
501-600,Jadavpur University,Canada,Oceania,Continental,18621,9728,Yes,6,53.08287367,No,Hybrid,85,Regional,72,Medium,Yes,Yes,Low,16.67,Yes,Inactive,Partial Scholarship,35593.89,Yes,No Sponsorship,Spanish,GRE,Manufacturing,Technology,1901,5,Labs,Restaurants,19,Jan-15,No,No,30,90,USD,National Recognition,Yes,10,1,No,Beaches,Average,6.317723717,Not Available,Yes,Low,85,No,Yes,95.78887,No
33,University of Melbourne,USA,Oceania,Tropical,10750,18478,Yes,7,65.38402617,No,Hybrid,83,International,100,Low,No,No,Medium,13.62,Yes,Active,Partial Scholarship,41010.01,No,Full Sponsorship,Mandarin,None,Healthcare,Technology,1974,5,Library,Restaurants,5,Nov-01,Yes,No,49,90,GBP,Global Ranking Top 100,Yes,5,6,Yes,Aquariums,Good,7.524709846,Not Available,Yes,Medium,68,No,No,91.54056054,No
251-300,Colorado State University,Australia,North America,Arid,40366,9388,No,7,55.6858725,Yes,Online,92,International,65,Medium,Yes,Yes,High,10.81,Yes,Inactive,No Scholarship,19851.74,Yes,No Sponsorship,German,TOEFL,Tech,Law,1996,4,Library,Food Court,47,Apr-30,Yes,Yes,32,80,GBP,Regional Award,No,7,2,Yes,Art Galleries,Excellent,6.552369819,Available,Yes,Low,86,Yes,Yes,71.95524236,No
351-400,University of Manitoba,Germany,Asia,Continental,46728,21489,Yes,7,57.03379245,No,In-person,85,National,69,Medium,No,Yes,Medium,5.48,No,Inactive,Partial Scholarship,13558.07,No,Partial Sponsorship,English,IELTS,Healthcare,Business,1996,5,Sports Complex,Food Court,14,Apr-30,Yes,Yes,22,90,USD,National Recognition,Yes,4,3,No,Theme Parks,Good,9.529699594,Available,No,Low,46,No,No,98.57247613,No
301-350,University of Southern Denmark,Canada,Europe,Arid,47501,18257,No,8,92.42697428,Yes,Online,98,Regional,85,High,No,Yes,Low,17.3,No,Inactive,No Scholarship,33590.43,No,Partial Sponsorship,Mandarin,TOEFL,Finance,Arts,1854,4,Labs,Restaurants,30,Nov-01,No,No,42,80,GBP,Regional Award,No,4,8,Yes,Historical Sites,Good,7.987508278,Not Available,Yes,High,44,Yes,No,95.97965142,No
501-600,Massey University,Canada,North America,Continental,21680,20719,No,8,52.83958956,Yes,Online,99,Regional,80,Medium,No,No,Medium,15.03,Yes,Active,Partial Scholarship,42012.49,No,Full Sponsorship,English,GRE,Healthcare,Engineering,1862,4,Gym,Food Court,35,Nov-01,Yes,No,25,95,GBP,Global Ranking Top 100,No,3,5,No,Mountain Passes,Average,6.259791505,Not Available,No,High,99,No,No,70.68051209,No
25,Northwestern University,UK,Europe,Arid,16763,15473,No,9,50.511018,No,In-person,98,International,98,Low,Yes,Yes,High,8.19,No,Active,Partial Scholarship,24991.83,No,No Sponsorship,French,GRE,Tech,Technology,1818,4,Gym,Food Court,9,Nov-01,No,Yes,22,85,USD,Regional Award,Yes,4,1,Yes,Religious Sites,Average,7.561689309,Not Available,Yes,Medium,25,No,No,96.25379916,No
251-300,Ruhr University Bochum,USA,Europe,Temperate,25399,10171,Yes,10,78.66492093,Yes,Hybrid,90,National,74,Medium,Yes,Yes,High,5.5,Yes,Inactive,Full Scholarship,40913.25,No,Full Sponsorship,Mandarin,IELTS,Healthcare,Science,1940,4,Sports Complex,Food Court,30,Nov-01,Yes,No,13,85,EUR,Regional Award,No,7,5,No,Libraries,Good,8.325795588,Available,No,High,75,Yes,No,98.41797157,Yes
601-800,Universiti Sains Malaysia,Canada,Asia,Continental,24778,16010,No,11,65.96982609,No,Hybrid,77,International,67,High,No,No,Low,15.93,No,Active,Full Scholarship,2823.97,Yes,Full Sponsorship,German,None,Tech,Technology,1891,5,Gym,Cafeteria,35,Nov-01,No,No,47,95,USD,Global Ranking Top 100,Yes,2,9,No,Art Galleries,Average,7.66047102,Available,No,High,22,No,No,70.94874731,No
501-600,Istanbul Technical University,USA,Oceania,Arid,30704,15678,Yes,12,70.55484346,No,In-person,73,Regional,76,High,Yes,Yes,Medium,10.65,Yes,Inactive,No Scholarship,11640.3,Yes,Partial Sponsorship,Spanish,GRE,Finance,Technology,1989,4,Gym,Restaurants,23,Jan-15,Yes,Yes,26,85,USD,National Recognition,Yes,7,2,Yes,Wildlife Sanctuaries,Good,6.993832532,Not Available,Yes,Low,31,No,Yes,84.54244238,No
601-800,University of BrasÃ­lia,UK,Asia,Continental,16177,23486,No,12,68.74535747,No,Hybrid,92,International,66,Low,Yes,Yes,Low,5.72,Yes,Active,Full Scholarship,9247.02,No,Full Sponsorship,Spanish,TOEFL,Tech,Science,1917,4,Sports Complex,Food Court,38,Nov-01,No,No,10,85,EUR,Regional Award,Yes,10,2,No,Mountain Ranges,Average,9.348184824,Available,Yes,Low,97,No,Yes,86.73284748,No
601-800,University of South Africa,USA,Asia,Arid,25148,24627,Yes,12,90.87913647,No,In-person,70,International,84,High,Yes,Yes,Low,8.66,No,Active,No Scholarship,3667.47,Yes,Partial Sponsorship,Spanish,None,Tech,Arts,2001,3,Library,Restaurants,47,Jan-15,No,Yes,20,95,EUR,National Recognition,No,8,5,No,Nature Reserves,Good,7.308497393,Not Available,No,High,38,No,No,83.49660115,No
117,"University of Maryland, College Park",Canada,North America,Continental,29529,15349,Yes,13,68.69989059,Yes,Online,96,National,63,Medium,Yes,Yes,Medium,10.59,Yes,Inactive,No Scholarship,1166.52,No,Full Sponsorship,Spanish,GRE,Manufacturing,Technology,1919,4,Library,Food Court,36,Jan-15,Yes,No,40,85,USD,Regional Award,No,8,7,No,Waterfronts,Excellent,8.118263435,Available,Yes,Medium,53,No,No,78.77428783,Yes
301-350,University of Pavia,Germany,Asia,Tropical,10822,22572,Yes,13,67.45024892,No,Hybrid,79,International,77,High,Yes,No,High,5,No,Inactive,Partial Scholarship,8606.23,Yes,No Sponsorship,German,GRE,Consulting,Science,1802,4,Library,Restaurants,35,Nov-01,No,Yes,34,90,GBP,Regional Award,Yes,9,5,No,Ski Resorts,Average,6.664907691,Available,No,High,73,No,Yes,94.92587407,Yes
401-500,Catholic University of the Sacred Heart,USA,North America,Continental,44783,9518,No,13,54.03976553,Yes,Online,71,Regional,65,High,Yes,No,High,11.9,No,Active,Full Scholarship,44540.58,Yes,Partial Sponsorship,French,GRE,Consulting,Law,1956,4,Sports Complex,Cafeteria,29,Apr-30,Yes,No,43,90,EUR,Regional Award,Yes,5,6,Yes,Lakesides,Good,8.539799324,Not Available,Yes,High,89,Yes,Yes,77.42668037,No
401-500,University of Porto,Canada,Oceania,Tropical,28261,11525,Yes,14,50.71231364,No,In-person,77,Regional,61,Medium,Yes,Yes,Low,8.44,Yes,Inactive,Full Scholarship,20901.79,No,No Sponsorship,Spanish,None,Consulting,Business,1935,4,Gym,Food Court,12,Apr-30,No,Yes,38,90,USD,National Recognition,No,3,3,No,Historic Bridges,Good,6.94963476,Not Available,No,High,49,Yes,Yes,88.55057813,No
157,University of Liverpool,UK,North America,Temperate,43632,17397,No,15,90.91674012,Yes,In-person,74,International,99,Medium,No,Yes,High,11.06,Yes,Active,No Scholarship,15612.25,Yes,No Sponsorship,English,TOEFL,Healthcare,Engineering,1839,3,Sports Complex,Cafeteria,8,Jan-15,Yes,Yes,18,90,USD,Regional Award,Yes,2,6,No,Nature Reserves,Good,6.196502362,Available,Yes,High,95,No,Yes,85.56305393,No
601-800,Yokohama National University,Germany,North America,Arid,13547,8155,No,15,87.4334522,No,In-person,100,National,99,High,Yes,No,Low,7.8,Yes,Inactive,Full Scholarship,33645.83,No,No Sponsorship,French,GRE,Consulting,Business,1946,4,Sports Complex,Cafeteria,13,Apr-30,No,Yes,12,85,EUR,Global Ranking Top 100,No,5,6,Yes,Natural Springs,Excellent,9.914514805,Not Available,No,Low,11,No,Yes,83.08700809,No
29,LMU Munich,USA,North America,Continental,31146,15717,Yes,17,99.76637711,Yes,In-person,96,Regional,100,Low,Yes,No,Low,11.96,Yes,Inactive,No Scholarship,23746.89,No,Full Sponsorship,French,TOEFL,Healthcare,Science,1810,4,Library,Restaurants,34,Nov-01,Yes,No,26,90,GBP,Global Ranking Top 100,Yes,1,3,Yes,Aquariums,Excellent,6.074652295,Not Available,No,High,45,No,Yes,97.30457473,Yes
601-800,Ohio University,Germany,Europe,Temperate,39396,18923,No,18,71.37390684,No,In-person,94,International,69,Medium,Yes,Yes,High,17.11,Yes,Inactive,Partial Scholarship,30338.8,Yes,Partial Sponsorship,Mandarin,GRE,Tech,Technology,1979,3,Labs,Restaurants,10,Jan-15,No,Yes,12,90,USD,National Recognition,Yes,9,2,No,Historic Towns,Excellent,6.15348569,Available,No,Low,64,Yes,Yes,72.00142663,No
99,University of GÃ¶ttingen,Australia,Europe,Arid,25338,14659,No,19,85.07715875,Yes,Hybrid,78,National,94,Medium,Yes,No,High,16.42,No,Active,Partial Scholarship,2376.66,Yes,Partial Sponsorship,German,GRE,Tech,Engineering,1804,5,Sports Complex,Cafeteria,32,Jan-15,Yes,No,30,85,EUR,Regional Award,Yes,2,3,Yes,Historic Towns,Average,6.331224185,Not Available,Yes,Low,28,No,No,74.55529795,No
158,TU Dresden,Australia,Asia,Continental,21989,22530,No,19,71.42274643,No,Hybrid,72,Regional,77,Low,Yes,No,Low,15.79,No,Active,Full Scholarship,22741.39,Yes,No Sponsorship,French,None,Consulting,Law,1861,4,Library,Restaurants,36,Apr-30,No,No,33,90,USD,National Recognition,No,8,10,Yes,Libraries,Average,9.445140544,Not Available,No,Medium,49,No,Yes,80.46323952,Yes
601-800,Chiba University,Canada,Oceania,Arid,38627,13018,No,21,98.35731667,Yes,Online,96,National,79,Low,No,No,Medium,19.62,No,Inactive,Full Scholarship,6173.49,Yes,Full Sponsorship,French,TOEFL,Consulting,Law,1839,4,Gym,Cafeteria,17,Apr-30,Yes,Yes,24,85,USD,Global Ranking Top 100,Yes,4,10,Yes,Religious Sites,Average,7.047898202,Not Available,No,Medium,82,Yes,Yes,90.61903004,Yes
190,Boston College,Canada,North America,Continental,43003,13922,No,22,59.83044091,No,In-person,98,National,63,Medium,Yes,Yes,High,17.05,Yes,Inactive,Full Scholarship,40575.02,Yes,Partial Sponsorship,Mandarin,IELTS,Consulting,Arts,1972,3,Library,Restaurants,37,Apr-30,No,No,21,85,GBP,National Recognition,Yes,6,10,Yes,Wineries,Excellent,7.940199332,Available,Yes,Medium,39,Yes,No,87.07881255,No
301-350,Technion Israel Institute of Technology,USA,Europe,Tropical,31797,13108,No,23,55.37318646,Yes,In-person,77,International,83,Low,Yes,No,Low,13.53,Yes,Inactive,Partial Scholarship,14207.98,Yes,Full Sponsorship,Mandarin,GRE,Finance,Technology,1995,4,Library,Restaurants,27,Nov-01,Yes,Yes,34,90,USD,Regional Award,Yes,0,6,Yes,Ski Resorts,Good,9.84197214,Not Available,No,High,67,Yes,No,91.92085539,No
601-800,University of Cergy-Pontoise,Australia,Asia,Temperate,14179,13790,No,25,50.13680731,Yes,Online,99,National,77,Low,Yes,Yes,High,17.06,No,Inactive,Partial Scholarship,47990.05,No,No Sponsorship,English,TOEFL,Manufacturing,Engineering,1888,3,Labs,Food Court,45,Nov-01,Yes,No,29,80,GBP,National Recognition,Yes,3,8,Yes,Cultural Centers,Excellent,6.608851822,Available,No,Low,34,No,No,87.13440509,No
140,University of Sussex,USA,North America,Temperate,29385,24573,No,26,95.41032945,No,In-person,73,National,85,Medium,No,Yes,Low,12.88,No,Inactive,No Scholarship,42347.34,No,No Sponsorship,Mandarin,TOEFL,Tech,Engineering,1908,4,Gym,Restaurants,14,Nov-01,No,No,38,90,EUR,National Recognition,Yes,1,7,No,Botanical Gardens,Good,7.615431439,Available,Yes,Low,68,Yes,No,73.38458702,No
601-800,Slovak University of Technology in Bratislava,Germany,Oceania,Continental,13661,24482,Yes,26,93.24390019,No,In-person,73,National,84,Low,No,No,Low,15.7,Yes,Inactive,Partial Scholarship,46728.99,No,Full Sponsorship,Spanish,TOEFL,Healthcare,Engineering,1816,4,Library,Food Court,44,Apr-30,Yes,No,15,95,GBP,Global Ranking Top 100,No,2,4,No,Waterfronts,Good,6.207324823,Not Available,No,Medium,43,No,No,81.51124287,Yes
23,London School of Economics and Political Science,Australia,Oceania,Arid,36102,24054,Yes,28,59.77772253,Yes,Hybrid,99,International,72,Medium,Yes,Yes,High,10.83,No,Inactive,Full Scholarship,7678.49,No,Partial Sponsorship,Mandarin,GRE,Healthcare,Engineering,1857,4,Labs,Restaurants,43,Apr-30,Yes,No,47,95,USD,Global Ranking Top 100,Yes,9,6,No,Piers and Harbors,Average,8.806513644,Available,No,High,81,Yes,No,77.45499236,No
251-300,Colorado School of Mines,USA,Asia,Temperate,30956,24024,Yes,28,86.25347673,No,In-person,72,Regional,95,Medium,No,No,Medium,14.34,No,Active,No Scholarship,31964.29,No,No Sponsorship,German,None,Manufacturing,Technology,1821,4,Library,Food Court,19,Apr-30,Yes,No,48,80,GBP,Regional Award,Yes,0,3,Yes,Wineries,Excellent,9.467689573,Not Available,No,High,80,No,No,86.04795652,Yes
161,Lomonosov Moscow State University,UK,Europe,Tropical,11241,20182,No,29,85.06244551,No,Hybrid,80,National,63,High,Yes,No,High,11.54,No,Inactive,No Scholarship,33887.85,No,Full Sponsorship,French,GRE,Manufacturing,Arts,1884,3,Gym,Food Court,35,Apr-30,Yes,Yes,47,90,USD,Global Ranking Top 100,No,2,1,No,Palaces,Good,6.38122439,Not Available,No,Medium,53,No,No,77.77718301,No
501-600,De Montfort University,USA,Asia,Temperate,14599,13199,No,29,88.79518632,No,Hybrid,95,Regional,64,Medium,Yes,No,Medium,18.63,No,Active,Partial Scholarship,49132.81,No,Partial Sponsorship,Mandarin,GRE,Finance,Engineering,1831,5,Gym,Food Court,36,Jan-15,No,No,11,95,EUR,National Recognition,Yes,3,7,Yes,Amusement Parks,Average,7.680265531,Not Available,Yes,High,69,No,Yes,75.07347455,Yes
601-800,University of the West of England,Canada,Asia,Continental,14699,12279,No,29,75.08666328,No,Hybrid,90,Regional,88,Low,No,Yes,Low,19.59,No,Active,Full Scholarship,10610.54,Yes,Partial Sponsorship,German,None,Finance,Business,1995,3,Library,Restaurants,15,Jan-15,Yes,No,46,95,GBP,Global Ranking Top 100,Yes,0,3,Yes,National Monuments,Excellent,9.879979871,Available,Yes,High,32,Yes,Yes,94.942576,No
130,Lancaster University,Australia,Asia,Continental,30406,20934,Yes,30,70.91499314,No,Hybrid,87,National,67,High,No,No,High,16.28,Yes,Inactive,No Scholarship,39483.21,Yes,No Sponsorship,English,IELTS,Finance,Engineering,1857,4,Labs,Restaurants,23,Jan-15,Yes,No,41,80,EUR,National Recognition,Yes,1,8,No,Botanical Gardens,Average,6.283243894,Not Available,Yes,Low,44,Yes,Yes,79.87906167,Yes
351-400,Washington State University,Germany,Oceania,Temperate,19820,9446,Yes,30,82.38750405,Yes,In-person,70,International,84,Medium,Yes,Yes,Low,9.59,Yes,Active,Partial Scholarship,48442.6,No,Full Sponsorship,Spanish,TOEFL,Finance,Arts,1871,4,Sports Complex,Cafeteria,37,Nov-01,No,No,24,85,EUR,Global Ranking Top 100,No,2,4,No,Cultural Centers,Good,6.7469639,Available,Yes,High,100,No,No,70.20176896,No
401-500,Louisiana State University,Canada,North America,Tropical,30563,17366,Yes,30,81.84664682,No,In-person,74,National,65,Medium,No,No,Low,18.04,Yes,Inactive,No Scholarship,30732.52,Yes,No Sponsorship,English,IELTS,Manufacturing,Technology,1931,5,Gym,Cafeteria,44,Nov-01,Yes,Yes,26,95,GBP,National Recognition,No,2,8,No,Islands,Average,9.806992655,Not Available,No,High,16,No,No,86.3911657,Yes
401-500,Indian Institute of Technology Madras,India,Asia,Arid,49259,9680,No,31,61.04969041,No,Online,84,International,84,Medium,Yes,No,Medium,12,No,Inactive,Full Scholarship,2643.17,No,Partial Sponsorship,Mandarin,IELTS,Manufacturing,Technology,1800,5,Sports Complex,Restaurants,44,Apr-30,No,No,36,85,USD,National Recognition,No,6,4,Yes,Shopping Districts,Excellent,7.30623404,Not Available,No,High,55,No,No,97.03838465,No
401-500,University of Rome II â€“ Tor Vergata,USA,North America,Temperate,23854,23238,Yes,31,66.46270787,Yes,In-person,96,International,83,Low,Yes,No,Low,5.24,Yes,Active,Partial Scholarship,16179.47,No,No Sponsorship,French,None,Consulting,Law,1952,5,Library,Food Court,8,Nov-01,No,No,47,90,EUR,Regional Award,No,2,8,Yes,Cliffs,Excellent,8.623965091,Available,No,High,41,Yes,Yes,84.82955909,No
501-600,King Saud University,Germany,Europe,Temperate,21117,11764,Yes,31,60.46563758,Yes,Hybrid,91,Regional,74,Medium,No,Yes,High,18.33,Yes,Active,No Scholarship,17320.1,No,No Sponsorship,French,IELTS,Tech,Science,1853,3,Sports Complex,Cafeteria,50,Jan-15,No,No,38,90,GBP,Regional Award,No,9,3,Yes,Libraries,Average,6.08532704,Not Available,Yes,Medium,68,Yes,Yes,71.43739676,Yes
251-300,Nanjing University,Australia,Oceania,Continental,19951,19780,Yes,33,62.45667896,No,Online,78,National,65,Medium,No,No,Medium,6.32,Yes,Inactive,Partial Scholarship,36970.92,Yes,Full Sponsorship,Mandarin,None,Tech,Technology,1976,3,Gym,Restaurants,19,Apr-30,Yes,No,42,90,USD,National Recognition,No,5,6,Yes,Historic Buildings,Excellent,8.721007965,Available,No,Medium,85,Yes,No,78.97187248,No
90,Ohio State University,Germany,Asia,Continental,29039,17939,No,34,58.71040306,No,In-person,75,International,94,Medium,No,Yes,Medium,5.45,No,Active,No Scholarship,25039.41,Yes,No Sponsorship,German,None,Healthcare,Technology,1860,5,Labs,Restaurants,17,Jan-15,Yes,Yes,50,90,EUR,Global Ranking Top 100,No,0,1,Yes,Food Markets,Good,8.575282917,Available,Yes,High,66,Yes,Yes,93.34216867,No
137,University of Alberta,Canada,Oceania,Tropical,35741,19714,Yes,34,79.0044652,Yes,In-person,94,International,93,High,Yes,No,Medium,12.13,Yes,Active,Partial Scholarship,48430.97,Yes,Partial Sponsorship,Mandarin,TOEFL,Manufacturing,Law,1925,5,Library,Food Court,48,Nov-01,No,Yes,16,95,EUR,National Recognition,No,10,5,No,Vineyards,Good,9.294171837,Not Available,No,High,65,Yes,Yes,75.10547333,Yes
201-250,Oregon Health and Science University,Canada,Asia,Continental,11340,23155,Yes,34,51.40060011,Yes,In-person,76,Regional,78,Low,Yes,Yes,High,16.3,Yes,Inactive,Full Scholarship,49854.69,Yes,Partial Sponsorship,German,None,Tech,Arts,1903,3,Labs,Cafeteria,49,Jan-15,Yes,No,32,80,EUR,Regional Award,No,1,10,Yes,Waterfronts,Good,9.273021657,Available,Yes,Low,82,No,Yes,82.41756876,Yes
601-800,University of Ghana,USA,Europe,Continental,20933,24187,Yes,34,54.70556209,No,Online,84,National,82,High,Yes,Yes,High,5.41,No,Inactive,No Scholarship,32551,Yes,Full Sponsorship,English,None,Manufacturing,Science,1809,5,Library,Food Court,42,Jan-15,No,Yes,38,80,USD,Global Ranking Top 100,Yes,3,5,No,Vineyards,Excellent,9.204240012,Not Available,Yes,High,42,Yes,No,85.4614418,Yes
601-800,Technical University of Madrid,Australia,Asia,Temperate,44246,17701,No,34,84.12682481,No,Online,85,Regional,76,Low,No,No,Medium,15.15,Yes,Inactive,Partial Scholarship,43272.82,Yes,No Sponsorship,German,GRE,Consulting,Arts,1903,4,Labs,Restaurants,9,Apr-30,Yes,Yes,46,85,USD,Regional Award,No,3,9,Yes,Beaches,Good,6.961931087,Available,No,Medium,47,No,Yes,84.22363306,Yes
73,Monash University,UK,North America,Tropical,41160,11216,Yes,40,60.29966516,Yes,Hybrid,88,National,73,Low,No,Yes,Medium,17.37,No,Active,Full Scholarship,2558.6,No,Full Sponsorship,Mandarin,None,Healthcare,Science,1819,5,Gym,Cafeteria,48,Nov-01,Yes,No,45,90,EUR,National Recognition,No,5,5,Yes,Historic Bridges,Average,9.256532801,Available,Yes,Low,63,Yes,Yes,80.97916585,Yes
104,University of Zurich,UK,Oceania,Tropical,30329,15788,Yes,40,62.69406964,No,In-person,72,Regional,72,Low,Yes,No,High,14.21,Yes,Inactive,Partial Scholarship,43291.8,Yes,Partial Sponsorship,French,None,Tech,Science,1992,5,Labs,Cafeteria,42,Apr-30,Yes,No,39,95,USD,Regional Award,Yes,2,9,No,Historic Bridges,Good,7.562296367,Not Available,Yes,Medium,26,No,Yes,79.28523806,Yes
601-800,Showa University,Canada,Oceania,Continental,46954,17438,No,40,55.97691166,Yes,Online,71,Regional,70,Low,Yes,No,Medium,7.44,No,Active,Partial Scholarship,27525.23,Yes,No Sponsorship,Spanish,None,Tech,Business,2007,5,Library,Food Court,24,Nov-01,No,No,34,80,EUR,Global Ranking Top 100,No,8,6,No,Theaters,Good,9.409938435,Not Available,No,Medium,14,No,Yes,88.41434698,Yes
351-400,University College Cork,Germany,Europe,Temperate,21374,18108,Yes,41,97.94708857,No,In-person,70,National,68,High,Yes,No,Low,12.33,Yes,Active,Full Scholarship,10662.22,No,Full Sponsorship,English,GRE,Consulting,Law,2003,3,Library,Food Court,20,Jan-15,Yes,No,33,85,USD,Regional Award,No,0,10,Yes,Historic Towns,Average,9.726172968,Available,No,Medium,32,No,No,74.77996605,No
